180.76.6.227 - - [01/Apr/2012:18:20:40 -0400] "GET /robots.txt HTTP/1.1" 404 1140 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
216.206.180.5 - - [01/Apr/2012:19:24:27 -0400] "HEAD / HTTP/1.0" 302 - "-" "-"
178.77.120.8 - - [01/Apr/2012:19:43:59 -0400] "GET /din.aspx?s=00000000&id=0&client=DynGate&p=10000001 HTTP/1.1" 404 1136 "-" "-"
87.230.74.46 - - [01/Apr/2012:22:57:06 -0400] "GET /din.aspx?s=00000000&id=0&client=DynGate&p=10000001 HTTP/1.1" 404 1137 "-" "-"
192.168.1.65 - - [01/Apr/2012:23:14:30 -0400] "OPTIONS /House525 HTTP/1.1" 200 - "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [01/Apr/2012:23:14:30 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [01/Apr/2012:23:14:30 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [01/Apr/2012:23:14:30 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [01/Apr/2012:23:14:30 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [01/Apr/2012:23:14:30 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [01/Apr/2012:23:14:31 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [01/Apr/2012:23:14:31 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
99.2.105.58 - - [01/Apr/2012:23:19:26 -0400] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.142 Safari/535.19"
99.2.105.58 - - [01/Apr/2012:23:19:26 -0400] "GET /xampp/ HTTP/1.1" 403 1291 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.142 Safari/535.19"
99.2.105.58 - - [01/Apr/2012:23:19:26 -0400] "GET /favicon.ico HTTP/1.1" 200 7782 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.142 Safari/535.19"
142.150.1.134 - - [02/Apr/2012:00:02:48 -0400] "HEAD / HTTP/1.0" 302 - "-" "-"
178.77.120.8 - - [02/Apr/2012:04:15:43 -0400] "GET /din.aspx?s=00000000&id=0&client=DynGate&p=10000001 HTTP/1.1" 404 1136 "-" "-"
180.76.5.141 - - [02/Apr/2012:10:44:58 -0400] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
192.168.1.65 - - [02/Apr/2012:10:47:18 -0400] "OPTIONS /House525 HTTP/1.1" 200 - "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [02/Apr/2012:10:47:18 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [02/Apr/2012:10:47:18 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [02/Apr/2012:10:47:18 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [02/Apr/2012:10:47:18 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [02/Apr/2012:10:47:18 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [02/Apr/2012:10:47:19 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [02/Apr/2012:10:47:20 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [02/Apr/2012:10:47:32 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
192.168.1.65 - - [02/Apr/2012:10:47:32 -0400] "PROPFIND /House525 HTTP/1.1" 405 1059 "-" "Microsoft-WebDAV-MiniRedir/6.0.6002"
180.76.6.212 - - [02/Apr/2012:12:47:17 -0400] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
180.76.5.97 - - [02/Apr/2012:14:47:10 -0400] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
180.76.5.57 - - [02/Apr/2012:16:49:26 -0400] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
180.76.5.89 - - [02/Apr/2012:18:46:50 -0400] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
87.230.74.47 - - [02/Apr/2012:18:58:29 -0400] "GET /din.aspx?s=00000000&id=0&client=DynGate&p=10000001 HTTP/1.1" 404 1136 "-" "-"
178.77.120.8 - - [02/Apr/2012:20:10:54 -0400] "GET /din.aspx?s=00000000&id=0&client=DynGate&p=10000001 HTTP/1.1" 404 1136 "-" "-"
